AppID,Game Name,Release Date,Developer,Genres,Price ($),Recommendations
2596990,"Good Pizza, Great Pizza - Taste of Rome Set - Chapter 5","Sep 13, 2023",TapBlaze,"Casual, Indie, Simulation",5.99,N/A
2597000,"Good Pizza, Great Pizza - Villa Vista Set - Chapter 5","Sep 13, 2023",TapBlaze,"Casual, Indie, Simulation",3.99,N/A
2597020,Coreless,To be announced,Contextual Turtle,"Action, Indie, RPG, Early Access",Free,N/A
2597040,Suero Zeus,"Nov 5, 2023",Homeworks Studios,"Action, Adventure, Indie, RPG",3.99,N/A
2597060,Astral Divide,To be announced,Sébastien Aoki,"Action, Adventure, Indie, Simulation",Free,N/A
2596100,Lycans,"Dec 4, 2023",Onu Games,"Action, Indie, Strategy",2.79,164
2596110,Lost Legacy: The Awakening of the Seals,Coming soon,Carlos Cesar,"Action, Adventure, Casual, Indie, RPG, Strategy",Free,N/A
2596130,Hero Siege - Eclipse Exo (Skin),"Oct 2, 2023",Panic Art Studios Ltd,"Action, Adventure, Indie, Massively Multiplayer, RPG",5.99,N/A
2596280,Forest Life,Coming soon,KoronisTech Game Studio,"Action, Adventure, Indie, Simulation, Early Access",Free,N/A
2596290,Fantasy Grounds - Pathfinder RPG - Pathfinder Companion: Blood of the Elements,"Sep 12, 2023","SmiteWorks USA, LLC","Indie, RPG, Strategy",12.99,N/A
2596300,Play With Your Cat! - A Virtual Toy Box,Coming soon,Herra Koira Company,"Casual, Indie",Free,N/A
2596310,Fantasy Grounds - Pathfinder RPG - Pathfinder Companion: The Harrow Handbook,"Sep 19, 2023","SmiteWorks USA, LLC","Indie, RPG, Strategy",12.99,N/A
2596320,Fantasy Grounds - Pathfinder RPG - Pathfinder Companion: People of the River,"Sep 12, 2023","SmiteWorks USA, LLC","Indie, RPG, Strategy",12.99,N/A
2596340,Fantasy Grounds - Pathfinder RPG - Pathfinder Companion: Alchemy Manual,"Sep 19, 2023","SmiteWorks USA, LLC","Indie, RPG, Strategy",12.99,N/A
2596370,Fantasy Grounds - Pathfinder RPG - Pathfinder Companion: Undead Slayer's Handbook,Coming soon,"SmiteWorks USA, LLC","Indie, RPG, Strategy",Free,N/A
2596390,Fantasy Grounds - Pathfinder RPG - Pathfinder Companion: Champions of Balance,"Sep 19, 2023","SmiteWorks USA, LLC","Indie, RPG, Strategy",12.99,N/A
2596410,Fantasy Grounds - Pathfinder 2 RPG - Sky King's Tomb AP 2: Cult of the Cave Worm,"Sep 12, 2023","SmiteWorks USA, LLC","Indie, RPG, Strategy",26.99,N/A
2596420,Arranger: A Role-Puzzling Adventure,"Jul 25, 2024",Furniture & Mattress LLC,"Adventure, Indie, RPG",19.99,146
2596450,Fantasy Grounds - Dune: Time Becomes a Narrow Door,"Sep 19, 2023","SmiteWorks USA, LLC","Indie, RPG, Strategy",5.99,N/A
2596490,Fantasy Grounds - Necessary Evil: Invasion (Revised Edition),"Sep 12, 2023","SmiteWorks USA, LLC","Indie, RPG, Strategy",14.99,N/A
2596520,Fantasy Grounds - Map Collection - The Boonies,"Sep 26, 2023","SmiteWorks USA, LLC","Indie, RPG, Strategy",9.99,N/A
