AppID,Game Name,Release Date,Price ($),Action,Adventure,Casual,Early Access,Free To Play,Gore,Indie,Massively Multiplayer,Nudity,RPG,Racing,Sexual Content,Simulation,Sports,Strategy,Violent,Developer_Alister Software,Developer_Choice of Games,Developer_Daedalic Entertainment,Developer_Easy game,Developer_Other,Developer_RewindApp,Developer_Ronimo Games,Developer_U-ROOM,Years Since Release,Original_Recommendations,Log_Recommendations,Standardized_Recommendations
1419730,Seek Girl Ⅵ,2020-09-30,0.025210084033613446,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,0.2222222222222222,1092,6.996681488176539,0.0010411424621180683
1015730,Apostle,2019-11-07,0.32773109243697474,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.2777777777777778,453,6.118097198041348,0.00036981044063124117
402750,Giant Machines 2017,2016-09-29,0.32773109243697474,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,0.4444444444444444,404,6.003887067106539,0.0003183311463388241
1818230,Lodventure,2023-12-11,0.10504201680672269,True,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,0.05555555555555555,110,4.709530201312334,9.455380584321514e-06
1064860,约拍女神 Private Model,2019-05-03,0.07563025210084033,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,0.2777777777777778,152,5.030437921392435,5.358048997782189e-05
2671970,‎My Suika – Kyo’s Fruit Merge,2023-11-29,0.008403361344537815,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,0.05555555555555555,1219,7.106606137727303,0.0011745683881412717
1889640,The Backrooms: Survival,2023-09-15,0.09243697478991596,True,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,0.05555555555555555,874,6.774223886357614,0.0008121121324089473
981020,Clea,2019-07-10,0.226890756302521,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.2777777777777778,349,5.857933154483459,0.00026054826499019264
442210,Switchcars,2021-04-30,0.14285714285714285,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,0.16666666666666666,157,5.062595033026967,5.883347919133383e-05
2990640,Endoparasitic 2,2024-10-01,0.19327731092436973,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0,296,5.6937321388027,0.000204866579326966
