AppID,Game Name,Release Date,Price ($),Recommendations,Metacritic Score,Action,Adventure,Casual,Early Access,Free To Play,Gore,Indie,Massively Multiplayer,Nudity,RPG,Racing,Sexual Content,Simulation,Sports,Strategy,Violent,Developer_Alister Software,Developer_BanzaiProject,Developer_Choice of Games,Developer_Daedalic Entertainment,Developer_Easy game,Developer_Other,Developer_RewindApp,Developer_Ronimo Games,Developer_U-ROOM
366690,Cue Club 2: Pool & Snooker,2016-03-07,0.3109243697478991,0,0.7,True,False,True,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False,True,False,False,False
33680,eversion,2010-06-07,0.07563025210084033,0,0.7,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
3172860,Lust Epidemic 18+,2024-09-21,0.15966386554621848,0,0.7,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
846800,Diner Bros,2018-07-06,0.15966386554621848,0,0.7,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
818210,Indie Pogo,2018-07-10,0.2436974789915966,0,0.7,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1110050,Evan's Remains,2020-06-11,0.1092436974789916,0,0.6499999999999999,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
406970,The Uncertain: Last Quiet Day,2016-09-22,0.15966386554621848,0,0.7,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1477330,Soulestination,2021-01-05,0.04201680672268908,0,0.7,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
703880,Swords and Soldiers 2 Shawarmageddon,2018-11-06,0.15966386554621848,0,0.7,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
434250,Masked Shooters 2,2016-01-14,0.008403361344537815,0,0.7,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
323490,Oblivious Garden ~Carmina Burana,2014-12-12,0.2436974789915966,0,0.7,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1947530,Fidget Spinner RPG,2023-09-26,0.05882352941176471,0,0.7,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
2287520,Five Nights at Freddy's: Help Wanted 2,2023-12-14,0.6638655462184875,0,0.7,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
2574840,Go For A Punch! Saki Sanobashi,2023-09-14,0.008403361344537815,0,0.7,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1916310,Remnant Records,2024-01-23,0.26050420168067223,0,0.7,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1671360,Ereban: Shadow Legacy,2024-04-10,0.41176470588235287,0,0.7,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1061090,Jump King,2019-05-03,0.21008403361344538,0,0.7,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
809850,Sudoku Zenkai / 数独全卡,2018-04-02,0.05882352941176471,0,0.7,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
357300,Snakebird,2015-05-04,0.1092436974789916,0,0.7,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
285110,GearCity,2022-01-14,0.32773109243697474,0,0.7,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
1432100,The Bookwalker: Thief of Tales,2023-06-22,0.2436974789915966,0,0.7,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2012140,Helicopter Gunship DEX,2022-12-01,0.2941176470588235,0,0.7,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
2875140,失业了，我获得了亿万游戏财产！,2024-08-08,0.21008403361344538,0,0.7,False,True,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
813540,Scheming Through The Zombie Apocalypse: The Beginning,2018-06-08,0.0033613445378151263,0,0.7,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1691320,Hellbreach: Vegas,2024-08-14,0.2436974789915966,0,0.7,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1016770,Interrogation: You will be deceived,2019-12-05,0.03529411764705882,0,0.7,False,True,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
1144020,GolfTopia,2021-03-30,0.32773109243697474,0,0.7,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
1489590,Astronite,2022-11-30,0.054621848739495805,0,0.7,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
241760,Kill to Collect,2016-04-06,0.15966386554621848,0,0.19999999999999996,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1298530,Self-Isolation,2020-12-02,0.07563025210084033,0,0.7,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
1950570,Tales from Toyotoki: Arrival of the Witch (The witch of the Ihanashi),2022-08-19,0.41159663865546214,0,0.7,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
332790,Darkness Assault,2015-02-06,0.008403361344537815,0,0.7,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
2088650,Mist Slayer,2023-08-17,0.2941176470588235,0,0.7,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
780020,True Puzzle,2018-06-22,0.0,0,0.7,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
872750,Guard Duty,2019-05-02,0.025210084033613446,0,0.6000000000000001,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2005010,"Warhammer 40,000: Boltgun",2023-05-23,0.361344537815126,0,0.6499999999999999,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1143810,Black Skylands,2023-08-15,0.32773109243697474,0,0.7,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
808010,Critadel,2021-10-12,0.32773109243697474,0,0.7,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
476490,Choice of the Pirate,2016-05-20,0.07563025210084033,0,0.7,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2802790,Why do you love me?,2024-02-11,0.008403361344537815,0,0.7,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2278830,GunSuit Guardians,2023-03-31,0.04201680672268908,0,0.7,True,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
335700,I am Weapon: Revival,2015-10-23,0.26050420168067223,0,0.7,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1604000,Milk outside a bag of milk outside a bag of milk,2021-12-16,0.14285714285714285,0,0.7,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1591870,Drift Phonk 666,2021-04-16,0.0,0,0.7,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2341070,The Banished Vault,2023-07-25,0.41176470588235287,0,0.7,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
1392490,Forklift Load,2020-10-22,0.04201680672268908,0,0.7,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
2051420,Beltex,2022-07-08,0.07563025210084033,0,0.7,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
1586880,Essays on Empathy,2021-05-18,0.21008403361344538,0,0.7,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1102130,Florence,2020-02-13,0.09243697478991596,0,0.7,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2761610,Creator of Another World,2024-04-30,0.3109243697478991,0,0.7,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
951750,I Am Dead,2020-10-08,0.32773109243697474,0,0.7,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1458930,Meridian 157: Chapter 2,2020-12-09,0.07563025210084033,0,0.7,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
201480,Serious Sam: The Random Encounter,2011-10-24,0.07563025210084033,0,0.375,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1040230,Curious Expedition 2,2021-01-28,0.32773109243697474,0,0.675,False,True,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
1083650,Super Naughty Maid,2019-05-31,0.26050420168067223,0,0.7,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
738520,Breathedge,2021-02-25,0.41176470588235287,0,0.55,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
1650810,Loopmancer,2022-07-13,0.41176470588235287,0,0.7,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
798850,Achievement Lurker: Easiest Cosmetic Numbers,2018-03-21,0.025210084033613446,0,0.7,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1271300,Methods: The Detective Competition,2020-06-01,0.32773109243697474,0,0.7,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
826010,JQ: chemistry,2018-04-09,0.0,0,0.7,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1131920,LABYRINTH OF TOUHOU - GENSOKYO AND THE HEAVEN-PIERCING TREE,2021-08-23,0.49579831932773105,0,0.7,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
838990,Endhall,2018-12-04,0.04201680672268908,0,0.7,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
242820,140,2013-10-16,0.07563025210084033,0,0.7749999999999999,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1872860,Conrad Stevenson's Paranormal P.I.,2023-09-28,0.2436974789915966,0,0.7,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
441440,Sometimes Always Monsters,2020-04-02,0.32773109243697474,0,0.7,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
860910,Hentai 3018,2018-05-31,0.008403361344537815,0,0.7,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1551520,Kamikaze Kommittee Ouka 2,2022-02-04,0.2436974789915966,0,0.7,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
706490,Little hidden city,2018-02-28,0.008403361344537815,0,0.7,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1291790,Lakeview Cabin 2,2023-10-19,0.226890756302521,0,0.7,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
1496590,Tchia,2024-03-21,0.2857142857142857,0,0.7,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1068150,Dual Family I - IX,2019-09-16,0.1092436974789916,0,0.7,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
702670,Donut County,2018-08-28,0.21008403361344538,0,0.7,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
466810,Soulslayer～灭魂·误佳期～,2017-07-13,0.15966386554621848,0,0.7,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
824600,HROT,2023-05-16,0.32773109243697474,0,0.7,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
461700,Seduce Me 2: The Demon War,2016-05-23,0.07563025210084033,0,0.7,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
873490,不落城-Unconquered Castle,2018-10-12,0.15966386554621848,0,0.7,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
1302990,MARDEK,2020-06-03,0.15966386554621848,0,0.7,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
275470,Chip,2014-04-25,0.07563025210084033,0,0.7,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
1418760,Claire's Quest: GOLD,2021-08-23,0.32773109243697474,0,0.7,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
